sentence_id,words,labels
1,I'm,O
1,looking,O
1,to,O
1,set,O
1,up,O
1,a,O
1,server,O
1,named,O
1,Analytics01,B-SERVER
1,in,O
1,the,O
1,Milad,B-DATACENTER
1,data,I-DATACENTER
1,center,I-DATACENTER
1,.,O
1,The,O
1,server,O
1,should,O
1,have,O
1,a,O
1,Medium,B-PLAN
1,plan,I-PLAN
1,with,O
1,at,O
1,least,O
1,6,B-CPU
1,CPU,I-CPU
1,cores,I-CPU
1,and,O
1,16GB,B-RAM
1,of,I-RAM
1,RAM,I-RAM
1,.,O
1,For,O
1,storage,O
1,a,O
1,40GB,B-DISK
1,SSD,I-DISK
1,will,O
1,suffice,O
1,plus,O
1,an,O
1,extra,O
1,disk,O
1,StoragePlus40,B-EXTRA_DISK
1,for,O
1,additional,O
1,space,O
1,with,O
1,30GB,B-EXTRA_DISK_SIZE
1,size,O
1,.,O
1,The,O
1,preferred,O
1,operating,O
1,system,O
1,is,O
1,Ubuntu,B-OS
1,20.04,I-OS
1,.,O
1,The,O
1,network,O
1,address,O
1,should,O
1,be,O
1,private,B-NETWORK
1,using,O
1,IPV4,B-PROTOCOL
1,protocol,I-PROTOCOL
1,.,O
1,Security,O
1,is,O
1,crucial,O
1,so,O
1,please,O
1,include,O
1,SecureGate,B-FIREWALL
1,firewall,O
1,and,O
1,add,O
1,SSH,B-SSH
1,Key-A1,I-SSH
1,.,O
1,Backup,O
1,should,O
1,be,O
1,scheduled,O
1,weekly,B-BACKUP
1,.,O
2,Please,O
2,configure,O
2,a,O
2,Large,B-PLAN
2,plan,I-PLAN
2,server,O
2,titled,O
2,MediaServer,B-SERVER
2,in,O
2,the,O
2,Atlas,B-DATACENTER
2,data,I-DATACENTER
2,center,I-DATACENTER
2,.,O
2,It,O
2,needs,O
2,to,O
2,be,O
2,robust,O
2,with,O
2,8,B-CPU
2,CPU,I-CPU
2,cores,I-CPU
2,and,O
2,32GB,B-RAM
2,RAM,I-RAM
2,.,O
2,A,O
2,primary,O
2,60GB,B-DISK
2,SSD,I-DISK
2,disk,O
2,and,O
2,an,O
2,ExtraStorage60,B-EXTRA_DISK
2,disk,O
2,are,O
2,required,O
2,consider,O
2,that,O
2,the,O
2,extra,O
2,disk,O
2,size,O
2,should,O
2,be,O
2,20GB,B-EXTRA_DISK_SIZE
2,.,O
2,For,O
2,the,O
2,operating,O
2,system,O
2,Windows,B-OS
2,Server,I-OS
2,2019,I-OS
2,is,O
2,preferred,O
2,.,O
2,Ensure,O
2,the,O
2,network,O
2,address,O
2,is,O
2,public,B-NETWORK
2,with,O
2,an,O
2,IPV6,B-PROTOCOL
2,protocol,I-PROTOCOL
2,.,O
2,Include,O
2,SSH,B-SSH
2,Key-Media,I-SSH
2,for,O
2,access,O
2,and,O
2,Firewall-ProMedia,B-FIREWALL
2,for,O
2,security,O
2,.,O
2,Backups,O
2,should,O
2,be,O
2,done,O
2,daily,B-BACKUP
2,.,O
3,Set,O
3,up,O
3,a,O
3,Small,B-PLAN
3,plan,I-PLAN
3,server,O
3,DevTracker,B-SERVER
3,in,O
3,the,O
3,Orion,B-DATACENTER
3,data,I-DATACENTER
3,center,I-DATACENTER
3,.,O
3,It,O
3,should,O
3,have,O
3,2,B-CPU
3,CPU,I-CPU
3,cores,I-CPU
3,4GB,B-RAM
3,RAM,I-RAM
3,and,O
3,a,O
3,25GB,B-DISK
3,SSD,I-DISK
3,.,O
3,Attach,O
3,a,O
3,10GB,B-EXTRA_DISK_SIZE
3,ExtraDisk25,B-EXTRA_DISK
3,extra,O
3,disk,O
3,for,O
3,more,O
3,storage,O
3,.,O
3,The,O
3,system,O
3,should,O
3,run,O
3,Debian,B-OS
3,11,I-OS
3,.,O
3,A,O
3,private,B-NETWORK
3,network,O
3,address,O
3,using,O
3,IPV4,B-PROTOCOL
3,is,O
3,necessary,O
3,along,O
3,with,O
3,SSH,B-SSH
3,Key-DevTrack,I-SSH
3,for,O
3,access,O
3,.,O
3,Implement,O
3,Firewall-DevSec,B-FIREWALL
3,for,O
3,protection,O
3,.,O
3,Opt,O
3,for,O
3,monthly,B-BACKUP
3,backups,O
3,.,O
4,We,O
4,require,O
4,a,O
4,server,O
4,named,O
4,DataAnalytica,B-SERVER
4,with,O
4,a,O
4,Medium,B-PLAN
4,plan,I-PLAN
4,in,O
4,the,O
4,Novin,B-DATACENTER
4,data,I-DATACENTER
4,center,I-DATACENTER
4,.,O
4,It,O
4,should,O
4,feature,O
4,4,B-CPU
4,CPU,I-CPU
4,cores,I-CPU
4,8GB,B-RAM
4,RAM,I-RAM
4,and,O
4,a,O
4,primary,O
4,disk,O
4,of,O
4,30GB,B-DISK
4,.,O
4,Add,O
4,a,O
4,50GB,B-EXTRA_DISK_SIZE
4,extra,O
4,disk,O
4,which,O
4,named,O
4,ExtraData30,B-EXTRA_DISK
4,for,O
4,backup,O
4,storage,O
4,.,O
4,The,O
4,operating,O
4,system,O
4,should,O
4,be,O
4,Ubuntu,B-OS
4,18.04,I-OS
4,.,O
4,The,O
4,server's,O
4,network,O
4,address,O
4,needs,O
4,to,O
4,be,O
4,public,B-NETWORK
4,utilizing,O
4,IPV6,B-PROTOCOL
4,.,O
4,Integrate,O
4,SSH,B-SSH
4,Key-Analytic02,I-SSH
4,and,O
4,secure,O
4,it,O
4,with,O
4,Firewall-Analytics,B-FIREWALL
4,.,O
4,Arrange,O
4,for,O
4,weekly,B-BACKUP
4,backups,O
4,.,O
5,Deploy,O
5,a,O
5,server,O
5,titled,O
5,WebProd01,B-SERVER
5,under,O
5,a,O
5,Large,B-PLAN
5,plan,I-PLAN
5,in,O
5,the,O
5,Aurora,B-DATACENTER
5,data,I-DATACENTER
5,center,I-DATACENTER
5,.,O
5,It,O
5,should,O
5,have,O
5,a,O
5,minimum,O
5,of,O
5,8,B-CPU
5,CPU,I-CPU
5,cores,I-CPU
5,and,O
5,16GB,B-RAM
5,RAM,I-RAM
5,.,O
5,The,O
5,main,O
5,disk,O
5,requirement,O
5,is,O
5,100GB,B-DISK
5,SSD,I-DISK
5,and,O
5,a,O
5,25GB,B-EXTRA_DISK_SIZE
5,Backup100,B-EXTRA_DISK
5,extra,O
5,disk,O
5,named,O
5,should,O
5,be,O
5,added,O
5,.,O
5,Install,O
5,Windows,B-OS
5,Server,I-OS
5,2016,I-OS
5,as,O
5,the,O
5,operating,O
5,system,O
5,.,O
5,The,O
5,server,O
5,should,O
5,have,O
5,a,O
5,public,B-NETWORK
5,network,O
5,address,O
5,with,O
5,IPV4,B-PROTOCOL
5,protocol,I-PROTOCOL
5,.,O
5,Attach,O
5,SSH,B-SSH
5,Key-WebSecure,I-SSH
5,for,O
5,access,O
5,and,O
5,Firewall-WebGate,B-FIREWALL
5,for,O
5,protection,O
5,.,O
5,Opt,O
5,for,O
5,daily,B-BACKUP
5,backups,O
5,.,O
6,I,O
6,need,O
6,a,O
6,Medium,B-PLAN
6,plan,I-PLAN
6,server,O
6,named,O
6,AppServer22,B-SERVER
6,in,O
6,the,O
6,Pegasus,B-DATACENTER
6,data,I-DATACENTER
6,center,I-DATACENTER
6,.,O
6,It,O
6,should,O
6,be,O
6,equipped,O
6,with,O
6,4,B-CPU
6,CPU,I-CPU
6,cores,I-CPU
6,and,O
6,8GB,B-RAM
6,RAM,I-RAM
6,.,O
6,The,O
6,primary,O
6,disk,O
6,should,O
6,be,O
6,50GB,B-DISK
6,SSD,I-DISK
6,complemented,O
6,by,O
6,an,O
6,additional,O
6,35GB,B-EXTRA_DISK_SIZE
6,ExtraApp50,B-EXTRA_DISK
6,disk,O
6,.,O
6,The,O
6,operating,O
6,system,O
6,must,O
6,be,O
6,CentOS,B-OS
6,8,I-OS
6,.,O
6,A,O
6,private,B-NETWORK
6,network,O
6,address,O
6,with,O
6,IPV6,B-PROTOCOL
6,protocol,I-PROTOCOL
6,is,O
6,required,O
6,.,O
6,Include,O
6,SSH,B-SSH
6,Key-AppMaster,I-SSH
6,for,O
6,security,O
6,along,O
6,with,O
6,Firewall-AppShield,B-FIREWALL
6,.,O
6,Set,O
6,the,O
6,backup,O
6,schedule,O
6,to,O
6,be,O
6,monthly,B-BACKUP
6,.,O
7,Configure,O
7,a,O
7,Small,B-PLAN
7,plan,I-PLAN
7,server,O
7,LogCollector,B-SERVER
7,in,O
7,the,O
7,Gemini,B-DATACENTER
7,data,I-DATACENTER
7,center,I-DATACENTER
7,.,O
7,This,O
7,server,O
7,should,O
7,have,O
7,2,B-CPU
7,CPU,I-CPU
7,cores,I-CPU
7,and,O
7,4GB,B-RAM
7,RAM,I-RAM
7,with,O
7,a,O
7,20GB,B-DISK
7,SSD,I-DISK
7,for,O
7,storage,O
7,.,O
7,Additionally,O
7,attach,O
7,a,O
7,150GB,B-EXTRA_DISK_SIZE
7,extra,O
7,disk,O
7,and,O
7,the,O
7,name,O
7,of,O
7,it,O
7,should,O
7,be,O
7,LogExtra20,B-EXTRA_DISK
7,.,O
7,The,O
7,operating,O
7,system,O
7,should,O
7,be,O
7,Ubuntu,B-OS
7,20.04,I-OS
7,and,O
7,a,O
7,public,B-NETWORK
7,IPV4,B-PROTOCOL
7,network,O
7,address,O
7,is,O
7,needed,O
7,.,O
7,Secure,O
7,the,O
7,server,O
7,with,O
7,SSH,B-SSH
7,Key-LogAccess,I-SSH
7,and,O
7,Firewall-LogGuard,B-FIREWALL
7,.,O
7,Weekly,B-BACKUP
7,backups,O
7,are,O
7,preferred,O
7,.,O
8,Set,O
8,up,O
8,a,O
8,server,O
8,named,O
8,DataHub03,B-SERVER
8,with,O
8,a,O
8,Large,B-PLAN
8,plan,I-PLAN
8,in,O
8,the,O
8,Centauri,B-DATACENTER
8,data,I-DATACENTER
8,center,I-DATACENTER
8,.,O
8,It,O
8,needs,O
8,to,O
8,have,O
8,at,O
8,least,O
8,8,B-CPU
8,CPU,I-CPU
8,cores,I-CPU
8,32GB,B-RAM
8,RAM,I-RAM
8,and,O
8,a,O
8,120GB,B-DISK
8,SSD,I-DISK
8,disk,O
8,along,O
8,with,O
8,an,O
8,100GB,B-EXTRA_DISK_SIZE
8,ExtraData120,B-EXTRA_DISK
8,disk,O
8,.,O
8,The,O
8,server,O
8,should,O
8,run,O
8,on,O
8,Debian,B-OS
8,10,I-OS
8,.,O
8,Ensure,O
8,it,O
8,has,O
8,a,O
8,private,B-NETWORK
8,network,O
8,address,O
8,using,O
8,the,O
8,IPV6,B-PROTOCOL
8,protocol,I-PROTOCOL
8,.,O
8,Attach,O
8,SSH,B-SSH
8,Key-HubSecure,I-SSH
8,for,O
8,access,O
8,and,O
8,equip,O
8,it,O
8,with,O
8,Firewall-DataDefender,B-FIREWALL
8,.,O
8,The,O
8,backup,O
8,schedule,O
8,should,O
8,be,O
8,daily,B-BACKUP
8,.,O
9,Order,O
9,a,O
9,server,O
9,FileStore01,B-SERVER
9,in,O
9,the,O
9,Novin,B-DATACENTER
9,data,I-DATACENTER
9,center,I-DATACENTER
9,with,O
9,a,O
9,Small,B-PLAN
9,plan,I-PLAN
9,.,O
9,It,O
9,should,O
9,have,O
9,2,B-CPU
9,CPU,I-CPU
9,cores,I-CPU
9,4GB,B-RAM
9,RAM,I-RAM
9,and,O
9,a,O
9,30GB,B-DISK
9,SSD,I-DISK
9,disk,O
9,.,O
9,Add,O
9,an,O
9,extra,O
9,disk,O
9,StoreExtra30,B-EXTRA_DISK
9,with,O
9,size,O
9,of,O
9,60GB,B-EXTRA_DISK_SIZE
9,.,O
9,Install,O
9,CentOS,B-OS
9,7,I-OS
9,as,O
9,the,O
9,operating,O
9,system,O
9,ensure,O
9,a,O
9,private,B-NETWORK
9,IPV4,B-PROTOCOL
9,network,O
9,address,O
9,include,O
9,SSH,B-SSH
9,Key-StoreSecure,I-SSH
9,and,O
9,Firewall-SafeStore,B-FIREWALL
9,.,O
9,Backup,O
9,should,O
9,be,O
9,set,O
9,to,O
9,weekly,B-BACKUP
9,.,O
10,Create,O
10,a,O
10,Large,B-PLAN
10,server,O
10,DevEnv02,B-SERVER
10,in,O
10,the,O
10,Altair,B-DATACENTER
10,data,I-DATACENTER
10,center,I-DATACENTER
10,.,O
10,Require,O
10,8,B-CPU
10,CPU,I-CPU
10,cores,I-CPU
10,32GB,B-RAM
10,RAM,I-RAM
10,and,O
10,a,O
10,150GB,B-DISK
10,SSD,I-DISK
10,.,O
10,Attach,O
10,an,O
10,ExtraDev150,B-EXTRA_DISK
10,disk,O
10,that,O
10,has,O
10,70GB,B-EXTRA_DISK_SIZE
10,size,O
10,.,O
10,Operating,O
10,system,O
10,preference,O
10,is,O
10,Ubuntu,B-OS
10,18.04,I-OS
10,with,O
10,a,O
10,public,B-NETWORK
10,IPV6,B-PROTOCOL
10,network,O
10,address,O
10,.,O
10,Use,O
10,SSH,B-SSH
10,Key-DevAccess,I-SSH
10,and,O
10,Firewall-DevProtect,B-FIREWALL
10,.,O
10,Daily,B-BACKUP
10,backups,O
10,are,O
10,needed,O
10,.,O
11,Need,O
11,a,O
11,Medium,B-PLAN
11,server,O
11,CacheNode,B-SERVER
11,in,O
11,the,O
11,Vega,B-DATACENTER
11,data,I-DATACENTER
11,center,I-DATACENTER
11,.,O
11,Specifications,O
11,4,B-CPU
11,CPU,I-CPU
11,cores,I-CPU
11,8GB,B-RAM
11,RAM,I-RAM
11,40GB,B-DISK
11,SSD,I-DISK
11,and,O
11,an,O
11,ExtraCache40,B-EXTRA_DISK
11,disk,O
11,with,O
11,the,O
11,size,O
11,of,O
11,30GB,B-EXTRA_DISK_SIZE
11,.,O
11,Use,O
11,Debian,B-OS
11,9,I-OS
11,a,O
11,private,B-NETWORK
11,IPV4,B-PROTOCOL
11,network,O
11,address,O
11,SSH,B-SSH
11,Key-CacheKey,I-SSH
11,and,O
11,Firewall-CacheWall,B-FIREWALL
11,.,O
11,Opt,O
11,for,O
11,monthly,B-BACKUP
11,backups,O
11,.,O
12,Set,O
12,up,O
12,Analytics02,B-SERVER
12,in,O
12,the,O
12,Sirius,B-DATACENTER
12,data,I-DATACENTER
12,center,I-DATACENTER
12,under,O
12,a,O
12,Small,B-PLAN
12,plan,I-PLAN
12,.,O
12,Include,O
12,2,B-CPU
12,CPU,I-CPU
12,cores,I-CPU
12,4GB,B-RAM
12,RAM,I-RAM
12,and,O
12,a,O
12,25GB,B-DISK
12,SSD,I-DISK
12,.,O
12,Add,O
12,a,O
12,25GB,B-EXTRA_DISK_SIZE
12,ExtraAnalytic25,B-EXTRA_DISK
12,.,O
12,OS,O
12,should,O
12,be,O
12,Windows,B-OS
12,Server,I-OS
12,2019,I-OS
12,with,O
12,a,O
12,public,B-NETWORK
12,IPV4,B-PROTOCOL
12,address,O
12,SSH,B-SSH
12,Key-AnalyticSecure,I-SSH
12,and,O
12,Firewall-DataAnalytic,B-FIREWALL
12,.,O
12,Schedule,O
12,weekly,B-BACKUP
12,backups,O
12,.,O
13,Deploy,O
13,a,O
13,server,O
13,StreamLine,B-SERVER
13,with,O
13,a,O
13,Large,B-PLAN
13,plan,I-PLAN
13,in,O
13,the,O
13,Novin,B-DATACENTER
13,data,I-DATACENTER
13,center,I-DATACENTER
13,.,O
13,Specifications,O
13,10,B-CPU
13,CPU,I-CPU
13,cores,I-CPU
13,64GB,B-RAM
13,RAM,I-RAM
13,200GB,B-DISK
13,SSD,I-DISK
13,plus,O
13,a,O
13,70GB,B-EXTRA_DISK_SIZE
13,extra,O
13,disk,O
13,which,O
13,named,O
13,ExtraStream200,B-EXTRA_DISK
13,.,O
13,Use,O
13,Windows,B-OS
13,Server,I-OS
13,2016,I-OS
13,a,O
13,private,B-NETWORK
13,IPV6,B-PROTOCOL
13,network,O
13,SSH,B-SSH
13,Key-StreamKey,I-SSH
13,and,O
13,Firewall-StreamGuard,B-FIREWALL
13,.,O
13,Daily,B-BACKUP
13,backups,O
13,required,O
13,.,O
14,Request,O
14,a,O
14,Medium,B-PLAN
14,server,O
14,QueryMaster,B-SERVER
14,in,O
14,the,O
14,Polaris,B-DATACENTER
14,data,I-DATACENTER
14,center,I-DATACENTER
14,.,O
14,Include,O
14,6,B-CPU
14,CPU,I-CPU
14,cores,I-CPU
14,12GB,B-RAM
14,RAM,I-RAM
14,60GB,B-DISK
14,SSD,I-DISK
14,and,O
14,an,O
14,ExtraQuery60,B-EXTRA_DISK
14,with,O
14,90GB,B-EXTRA_DISK_SIZE
14,size,O
14,.,O
14,Operating,O
14,system,O
14,CentOS,B-OS
14,8,I-OS
14,network,O
14,public,B-NETWORK
14,IPV4,B-PROTOCOL
14,security,O
14,SSH,B-SSH
14,Key-QueryAccess,I-SSH
14,Firewall-QueryShield,B-FIREWALL
14,.,O
14,Monthly,B-BACKUP
14,backups,O
14,.,O
15,Set,O
15,up,O
15,a,O
15,Small,B-PLAN
15,TestLab,B-SERVER
15,server,O
15,in,O
15,the,O
15,Lyra,B-DATACENTER
15,data,I-DATACENTER
15,center,I-DATACENTER
15,.,O
15,Specs,O
15,2,B-CPU
15,CPU,I-CPU
15,cores,I-CPU
15,4GB,B-RAM
15,RAM,I-RAM
15,20GB,B-DISK
15,SSD,I-DISK
15,and,O
15,ExtraTest20,B-EXTRA_DISK
15,.,O
15,OS,O
15,Ubuntu,B-OS
15,20.04,I-OS
15,network,O
15,private,B-NETWORK
15,IPV6,B-PROTOCOL
15,access,O
15,SSH,B-SSH
15,Key-LabTest,I-SSH
15,security,O
15,Firewall-LabGate,B-FIREWALL
15,.,O
15,Weekly,B-BACKUP
15,backups,O
15,.,O
16,Need,O
16,a,O
16,Large,B-PLAN
16,CompileStation,B-SERVER
16,server,O
16,in,O
16,the,O
16,Rigel,B-DATACENTER
16,data,I-DATACENTER
16,center,I-DATACENTER
16,.,O
16,Must,O
16,have,O
16,8,B-CPU
16,CPU,I-CPU
16,cores,I-CPU
16,32GB,B-RAM
16,RAM,I-RAM
16,120GB,B-DISK
16,SSD,I-DISK
16,and,O
16,ExtraCompile120,B-EXTRA_DISK
16,.,O
16,OS,O
16,Debian,B-OS
16,10,I-OS
16,network,O
16,public,B-NETWORK
16,IPV4,B-PROTOCOL
16,SSH,B-SSH
16,Key-CompileSecure,I-SSH
16,Firewall-CompileSafe,B-FIREWALL
16,.,O
16,Daily,B-BACKUP
16,backups,O
16,.,O
17,Configure,O
17,a,O
17,Medium,B-PLAN
17,DataSync,B-SERVER
17,server,O
17,in,O
17,the,O
17,Canopus,B-DATACENTER
17,data,I-DATACENTER
17,center,I-DATACENTER
17,.,O
17,Include,O
17,4,B-CPU
17,CPU,I-CPU
17,cores,I-CPU
17,8GB,B-RAM
17,RAM,I-RAM
17,50GB,B-DISK
17,SSD,I-DISK
17,and,O
17,50GB,B-EXTRA_DISK_SIZE
17,extra,O
17,disk,O
17,which,O
17,named,O
17,ExtraSync50,B-EXTRA_DISK
17,.,O
17,Prefer,O
17,Windows,B-OS
17,Server,I-OS
17,2019,I-OS
17,private,B-NETWORK
17,IPV6,B-PROTOCOL
17,address,O
17,SSH,B-SSH
17,Key-SyncMaster,I-SSH
17,and,O
17,Firewall-SyncShield,B-FIAREWALL
17,.,O
17,Monthly,B-BACKUP
17,backups,O
17,.,O
18,Deploy,O
18,a,O
18,RenderFarm01,B-SERVER
18,server,O
18,with,O
18,a,O
18,Large,B-PLAN
18,plan,I-PLAN
18,in,O
18,the,O
18,Antares,B-DATACENTER
18,data,I-DATACENTER
18,center,I-DATACENTER
18,.,O
18,It,O
18,should,O
18,have,O
18,12,B-CPU
18,CPU,I-CPU
18,cores,I-CPU
18,64GB,B-RAM
18,RAM,I-RAM
18,a,O
18,250GB,B-DISK
18,SSD,I-DISK
18,and,O
18,an,O
18,extra,O
18,disk,O
18,RenderExtra250,B-EXTRA_DISK
18,.,O
18,Install,O
18,CentOS,B-OS
18,7,I-OS
18,ensure,O
18,a,O
18,public,B-NETWORK
18,IPV4,B-PROTOCOL
18,address,O
18,add,O
18,SSH,B-SSH
18,Key-RenderKey,I-SSH
18,and,O
18,Firewall-RenderWall,B-FIREWALL
18,.,O
18,Opt,O
18,for,O
18,daily,B-BACKUP
18,backups,O
18,.,O
19,Order,O
19,a,O
19,Small,B-PLAN
19,WebDev,B-SERVER
19,server,O
19,in,O
19,the,O
19,Deneb,B-DATACENTER
19,data,I-DATACENTER
19,center,I-DATACENTER
19,.,O
19,Required,O
19,2,B-CPU
19,CPU,I-CPU
19,cores,I-CPU
19,4GB,B-RAM
19,RAM,I-RAM
19,30GB,B-DISK
19,SSD,I-DISK
19,and,O
19,10GB,B-EXTRA_DISK_SIZE
19,extra,O
19,disk,O
19,.,O
19,OS,O
19,Ubuntu,B-OS
19,18.04,I-OS
19,network,O
19,private,B-NETWORK
19,IPV4,B-PROTOCOL
19,security,O
19,SSH,B-SSH
19,Key-WebDevAccess,I-SSH
19,Firewall-WebSafe,B-FIREWALL
19,.,O
19,Weekly,B-BACKUP
19,backups,O
19,.,O
20,Create,O
20,a,O
20,DataArchiver,B-SERVER
20,server,O
20,in,O
20,the,O
20,Spica,B-DATACENTER
20,data,I-DATACENTER
20,center,I-DATACENTER
20,under,O
20,a,O
20,Medium,B-PLAN
20,plan,I-PLAN
20,.,O
20,Specs,O
20,6,B-CPU
20,CPU,I-CPU
20,cores,I-CPU
20,16GB,B-RAM
20,RAM,I-RAM
20,80GB,B-DISK
20,SSD,I-DISK
20,and,O
20,ExtraArchive80,B-EXTRA_DISK
20,.,O
20,OS,O
20,Windows,B-OS
20,Server,I-OS
20,2016,I-OS
20,network,O
20,public,B-NETWORK
20,IPV6,B-PROTOCOL
20,SSH,B-SSH
20,Key-ArchiveKey,I-SSH
20,and,O
20,Firewall-ArchiveGuard,B-FIREWALL
20,.,O
20,Monthly,B-BACKUP
20,backups,O
20,.,O
21,Set,O
21,up,O
21,a,O
21,Large,B-PLAN
21,VideoProc,B-SERVER
21,server,O
21,in,O
21,the,O
21,Capella,B-DATACENTER
21,data,I-DATACENTER
21,center,I-DATACENTER
21,.,O
21,Include,O
21,10,B-CPU
21,CPU,I-CPU
21,cores,I-CPU
21,64GB,B-RAM
21,RAM,I-RAM
21,200GB,B-DISK
21,SSD,I-DISK
21,and,O
21,ExtraVideo200,B-EXTRA_DISK
21,.,O
21,Preferred,O
21,OS,O
21,Debian,B-OS
21,11,I-OS
21,network,O
21,private,B-NETWORK
21,IPV4,B-PROTOCOL
21,SSH,B-SSH
21,Key-VideoSecure,I-SSH
21,and,O
21,Firewall-VideoShield,B-FIREWALL
21,.,O
21,Daily,B-BACKUP
21,backups,O
21,.,O
22,Need,O
22,a,O
22,Small,B-PLAN
22,MailServer,B-SERVER
22,in,O
22,the,O
22,Bellatrix,B-DATACENTER
22,data,I-DATACENTER
22,center,I-DATACENTER
22,.,O
22,Specifications,O
22,2,B-CPU
22,CPU,I-CPU
22,cores,I-CPU
22,4GB,B-RAM
22,RAM,I-RAM
22,25GB,B-DISK
22,SSD,I-DISK
22,and,O
22,a,O
22,40GB,B-EXTRA_DISK_SIZE
22,extra,O
22,disk,O
22,.,O
22,Install,O
22,CentOS,B-OS
22,8,I-OS
22,use,O
22,a,O
22,public,B-NETWORK
22,IPV6,B-PROTOCOL
22,network,O
22,address,O
22,include,O
22,SSH,B-SSH
22,Key-MailAccess,I-SSH
22,and,O
22,Firewall-MailGate,B-FIREWALL
22,.,O
22,Weekly,B-BACKUP
22,backups,O
22,.,O
23,Deploy,O
23,a,O
23,CodeBuild01,B-SERVER
23,server,O
23,with,O
23,a,O
23,Medium,B-PLAN
23,plan,I-PLAN
23,in,O
23,the,O
23,Procyon,B-DATACENTER
23,data,I-DATACENTER
23,center,I-DATACENTER
23,.,O
23,It,O
23,should,O
23,have,O
23,4,B-CPU
23,CPU,I-CPU
23,cores,I-CPU
23,8GB,B-RAM
23,RAM,I-RAM
23,a,O
23,40GB,B-DISK
23,SSD,I-DISK
23,and,O
23,an,O
23,extra,O
23,disk,O
23,with,O
23,90GB,B-EXTRA_DISK_SIZE
23,size,O
23,.,O
23,Operating,O
23,system,O
23,Ubuntu,B-OS
23,20.04,I-OS
23,network,O
23,private,B-NETWORK
23,IPV4,B-PROTOCOL
23,SSH,B-SSH
23,Key-CodeMaster,I-SSH
23,and,O
23,Firewall-CodeSafe,B-FIREWALL
23,.,O
23,Opt,O
23,for,O
23,monthly,B-BACKUP
23,backups,O
23,.,O
24,Order,O
24,a,O
24,Large,B-PLAN
24,VRDesign,B-SERVER
24,server,O
24,in,O
24,the,O
24,Arcturus,B-DATACENTER
24,data,I-DATACENTER
24,center,I-DATACENTER
24,.,O
24,Required,O
24,12,B-CPU
24,CPU,I-CPU
24,cores,I-CPU
24,64GB,B-RAM
24,RAM,I-RAM
24,250GB,B-DISK
24,SSD,I-DISK
24,and,O
24,an,O
24,100GB,B-EXTRA_DISK_SIZE
24,aditional,O
24,disk,O
24,.,O
24,OS,O
24,Windows,B-OS
24,Server,I-OS
24,2019,I-OS
24,network,O
24,public,B-NETWORK
24,IPV6,B-PROTOCOL
24,SSH,B-SSH
24,Key-VRSecure,I-SSH
24,Firewall-VRGuard,B-FIREWALL
24,.,O
24,Daily,B-BACKUP
24,backups,O
24,.,O
25,Set,O
25,up,O
25,a,O
25,BatchCompute,B-SERVER
25,server,O
25,in,O
25,the,O
25,Fomalhaut,B-DATACENTER
25,data,I-DATACENTER
25,center,I-DATACENTER
25,under,O
25,a,O
25,Medium,B-PLAN
25,plan,I-PLAN
25,.,O
25,Include,O
25,6,B-CPU
25,CPU,I-CPU
25,cores,I-CPU
25,12GB,B-RAM
25,RAM,I-RAM
25,60GB,B-DISK
25,SSD,I-DISK
25,and,O
25,ExtraBatch60,B-EXTRA_DISK
25,.,O
25,OS,O
25,Debian,B-OS
25,9,I-OS
25,network,O
25,private,B-NETWORK
25,IPV4,B-PROTOCOL
25,SSH,B-SSH
25,Key-ComputeAccess,I-SSH
25,Firewall-ComputeShield,B-FIREWALL
25,.,O
25,Monthly,B-BACKUP
25,backups,O
25,.,O
26,Create,O
26,a,O
26,Small,B-PLAN
26,IoTGateway,B-SERVER
26,server,O
26,in,O
26,the,O
26,Achernar,B-DATACENTER
26,data,I-DATACENTER
26,center,I-DATACENTER
26,.,O
26,Specs,O
26,2,B-CPU
26,CPU,I-CPU
